fold,accuracy,f1
1,0.7853511579740162,0.7974413646055437
2,0.7881754848427791,0.8049245708340559
3,0.799849369233666,0.8133450395083407
4,0.8070043306345321,0.8279335235856975
5,0.7947655808698927,0.8101045296167247
