,precision,recall,f1-score,support
0,0.0,0.0,0.0,2486.0
1,0.5319148936170213,1.0,0.6944444444444444,2825.0
accuracy,0.5319148936170213,0.5319148936170213,0.5319148936170213,0.5319148936170213
macro avg,0.26595744680851063,0.5,0.3472222222222222,5311.0
weighted avg,0.2829334540516071,0.5319148936170213,0.36938534278959806,5311.0
