model,fold,accuracy,f1_score
rf,fold_1,0.5317266051591037,0.3691692521129217
rf,fold_2,0.5319148936170213,0.36938534278959806
rf,fold_3,0.5319148936170213,0.36938534278959806
rf,fold_4,0.5319148936170213,0.36938534278959806
rf,fold_5,0.5319148936170213,0.36938534278959806
