,precision,recall,f1-score,support
0,0.0,0.0,0.0,2487.0
1,0.5317266051591037,1.0,0.6942839582052858,2824.0
accuracy,0.5317266051591037,0.5317266051591037,0.5317266051591037,0.5317266051591037
macro avg,0.2658633025795519,0.5,0.3471419791026429,5311.0
weighted avg,0.2827331826340254,0.5317266051591037,0.3691692521129217,5311.0
