epoch,train_loss,val_loss,acc,precision,recall,f1,auc
1,0.4892481305710105,0.5254911497594362,0.7498116051243406,0.8076294277929156,0.6974117647058824,0.7484848484848485,0.8331310851926977
2,0.4113177594542503,0.506772535333193,0.7616176839989952,0.7993890020366599,0.7388235294117647,0.7679139153827341,0.8390319472616633
3,0.36490581475024997,0.5434860256294828,0.7445365486058779,0.7676328502415459,0.7477647058823529,0.7575685339690107,0.821792089249493
4,0.3279005751152371,0.5284306821993077,0.7488068324541572,0.7692675921493538,0.756235294117647,0.7626957759848125,0.8290314401622718
5,0.29623523324034934,0.5522582369578822,0.7618688771665411,0.7844369260512325,0.7637647058823529,0.7739628040057225,0.8403569979716025
6,0.2654891472431116,0.6424752349349623,0.7425270032655111,0.7425044091710759,0.7924705882352941,0.7666742544957887,0.8155712474645029
7,0.23349053703075232,0.6463359426005733,0.741271037427782,0.7656477438136827,0.7425882352941177,0.7539417104634496,0.8196857251521298
8,0.2032849225748417,0.6368846294790858,0.7510675709620699,0.7904713114754098,0.7261176470588235,0.7569291145450086,0.8324537271805273
9,0.1750875326505927,0.7159994129763227,0.746043707611153,0.7455908289241623,0.7957647058823529,0.7698611427270657,0.822211967545639
10,0.15528200269005327,0.7860449353260827,0.73172569706104,0.7456996745699674,0.7548235294117647,0.7502338634237605,0.8062569726166329
