epoch,train_loss,val_loss,acc,precision,recall,f1,auc
1,0.6050254884647733,0.5470112102991941,0.7268540959767329,0.7208576998050682,0.8181415929203539,0.7664248704663212,0.7946066784281365
2,0.5327424754364168,0.5721754244128283,0.7285506543868153,0.8166666666666667,0.6504424778761062,0.7241379310344828,0.8218929326845554
3,0.5056016792337485,0.5318757948048966,0.7237033446437228,0.7506714413607878,0.7420353982300885,0.7463284379172229,0.8051482514298722
4,0.4856698316162431,0.5394374742829505,0.739214735821619,0.7323390894819466,0.8256637168141593,0.7762063227953411,0.8084253383793832
5,0.4657655953743939,0.519258461042993,0.7464857004362578,0.7249814677538917,0.8654867256637168,0.7890278338039532,0.8232016333266938
6,0.4459296755684237,0.5302487491996588,0.7312166747455162,0.7726196115585031,0.7216814159292035,0.7462823152596659,0.8180117662123324
7,0.4222086761492972,0.5517068492763071,0.7268540959767329,0.7265093962415033,0.8039823008849557,0.7632850241545893,0.7954895000426827
8,0.399898368966214,0.5379315488366839,0.737275811924382,0.7727272727272727,0.7371681415929203,0.7545289855072463,0.8164400923844484
9,0.3745320013956716,0.636154857441224,0.6851672321861367,0.7601515971846237,0.6212389380530974,0.6837107377647919,0.7714745231387948
10,0.34110725964405075,0.5789098917446946,0.752302472127969,0.7643040136635354,0.7920353982300885,0.777922642329422,0.8192609481262272
