epoch,train_loss,val_loss,acc,precision,recall,f1,auc
1,0.49627554052097855,0.4789809950236231,0.7985485485485485,0.7889509621353197,0.7321428571428571,0.759486106961458,0.8746002151217325
2,0.41666050283021705,0.5159262107312679,0.7677677677677678,0.7179072276159655,0.7667050691244239,0.7415041782729805,0.8465026151054198
3,0.36331034432316933,0.5130440414890182,0.781031031031031,0.7428087986463621,0.7586405529953917,0.7506412083214591,0.8669450420048121
4,0.32175764729810313,0.5942846815212397,0.7582582582582582,0.6774193548387096,0.8467741935483871,0.7526881720430108,0.8560288885037315
5,0.29216734333440314,0.5535470247450285,0.78003003003003,0.731496488384657,0.7799539170506913,0.7549484248675774,0.8572579370743444
6,0.2482691895095415,0.5719736250508577,0.7697697697697697,0.7344827586206897,0.7361751152073732,0.7353279631760644,0.845233167489091
7,0.22262862191643826,0.6575051137525588,0.753003003003003,0.6779097387173396,0.8220046082949308,0.7430356677948451,0.8348292025202887
8,0.1885162481994823,0.6668796694482153,0.7672672672672672,0.7279411764705882,0.7413594470046083,0.7345890410958904,0.8562482158150158
9,0.16349088377644155,0.7374575542588079,0.7672672672672672,0.7101147028154328,0.7845622119815668,0.7454844006568144,0.8498168661555401
10,0.14422869962531815,0.7726438488318818,0.7434934934934935,0.6603518267929634,0.8433179723502304,0.7407032633442955,0.8428990712042741
