epoch,train_loss,val_loss,acc,precision,recall,f1,auc
1,0.6039600993123915,0.5182209343381889,0.7487487487487487,0.7074829931972789,0.7188940092165899,0.7131428571428572,0.8186986409608091
2,0.5386483405636406,0.5450190688409768,0.7304804804804805,0.6513550757923748,0.8168202764976958,0.7247636084845387,0.826369871742588
3,0.5192271345244615,0.5147061623615194,0.7462462462462462,0.6600177304964538,0.8577188940092166,0.7459919839679359,0.8481371834346071
4,0.500756955991602,0.47534265329369585,0.7832832832832833,0.734375,0.7851382488479263,0.7589086859688196,0.8537341717303536
5,0.4843458344404035,0.4839033132821724,0.7662662662662663,0.6991062562065541,0.8110599078341014,0.7509333333333333,0.8502002110435953
6,0.46982733108515995,0.482415962417995,0.7722722722722722,0.7613924050632911,0.6929723502304147,0.7255729794933655,0.8528020625178417
7,0.4502315818526464,0.48516858962061044,0.7697697697697697,0.7077393075356415,0.8006912442396313,0.7513513513513513,0.8496450746299089
8,0.43155172125797386,0.534582335647108,0.7592592592592593,0.6760691537761602,0.8559907834101382,0.755465175394001,0.8526941193262919
9,0.41185432722307347,0.5288931266300975,0.736986986986987,0.674655787863335,0.7620967741935484,0.7157154449553692,0.8221219821785408
10,0.3843464087437477,0.6227702648523467,0.7254754754754755,0.6314273961332785,0.8842165898617511,0.7367410607151428,0.837530968353656
