epoch,train_loss,val_loss,acc,precision,recall,f1,auc
1,0.4838137383158443,0.5771970874492955,0.724074499885031,0.7166077738515901,0.8359439406430338,0.771689497716895,0.780308895785345
2,0.3917690057505786,0.6853501399549285,0.7413198436422166,0.7140506745640013,0.8944765045342127,0.7941445562671546,0.8006420091923215
3,0.34563957428835873,0.5680572096761727,0.7666130144860888,0.7848203471941865,0.8013190436933223,0.7929838874158678,0.8314807860245159
4,0.30732390378024643,0.5883272311509833,0.7461485398942286,0.7758764607679466,0.7662819455894476,0.771049357113231,0.8176014179891187
5,0.2660625841178198,0.6896232587220285,0.73327201655553,0.7347922848664689,0.816570486397362,0.7735259664193674,0.7975542517166473
6,0.2422598425950501,0.677707803378272,0.7459186019774661,0.7819035424669227,0.7551525144270403,0.7682952400922626,0.8148424782828081
7,0.2093076717600708,0.7183521596838117,0.7224649344676938,0.7374366965329178,0.7802967848309975,0.7582615661926697,0.7850393488122048
8,0.18413476860186107,0.7460352097628214,0.742929409059554,0.75748031496063,0.7930750206100577,0.774869109947644,0.8089128264223725
9,0.15600915220849387,0.8685264702651907,0.7482179811450909,0.7510373443983402,0.8206924979389942,0.784321449675005,0.8116270734918433
10,0.13799001715153086,0.8903999498981969,0.6838353644515981,0.7269978401727861,0.6937345424567188,0.7099767981438515,0.7552464011173802
